current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people5,1
date ('1969-12-31 19:00:00'),people68,2
date ('1969-12-31 19:00:00'),people118,1
date ('1969-12-31 19:00:00'),people56,0
date ('1969-12-31 19:00:00'),people106,1
date ('1969-12-31 19:00:00'),people112,2
date ('1969-12-31 19:00:00'),people50,2
date ('1969-12-31 19:00:00'),people100,3
date ('1969-12-31 19:00:00'),people119,3
date ('1969-12-31 19:00:00'),people69,2
date ('1969-12-31 19:00:00'),people107,0
date ('1969-12-31 19:00:00'),people101,0
date ('1969-12-31 19:00:00'),people51,1
date ('1969-12-31 19:00:00'),people70,0
date ('1969-12-31 19:00:00'),people57,1
date ('1969-12-31 19:00:00'),people120,0
date ('1969-12-31 19:00:00'),people108,2
date ('1969-12-31 19:00:00'),people102,0
date ('1969-12-31 19:00:00'),people52,2
date ('1969-12-31 19:00:00'),people113,2
date ('1969-12-31 19:00:00'),people121,0
date ('1969-12-31 19:00:00'),people71,1
date ('1969-12-31 19:00:00'),people58,2
date ('1969-12-31 19:00:00'),people109,0
date ('1969-12-31 19:00:00'),people103,2
date ('1969-12-31 19:00:00'),people53,1
date ('1969-12-31 19:00:00'),people114,0
date ('1969-12-31 19:00:00'),people122,0
date ('1969-12-31 19:00:00'),people72,2
date ('1969-12-31 19:00:00'),people110,1
date ('1969-12-31 19:00:00'),people59,2
date ('1969-12-31 19:00:00'),people104,0
date ('1969-12-31 19:00:00'),people54,0
date ('1969-12-31 19:00:00'),people115,2
date ('1969-12-31 19:00:00'),people123,1
date ('1969-12-31 19:00:00'),people73,0
date ('1969-12-31 19:00:00'),people111,2
date ('1969-12-31 19:00:00'),people60,2
date ('1969-12-31 19:00:00'),people105,1
date ('1969-12-31 19:00:00'),people55,0
date ('1969-12-31 19:00:00'),people116,1
date ('1969-12-31 19:00:00'),people124,1
date ('1969-12-31 19:00:00'),people74,1
date ('1969-12-31 19:00:00'),people62,1
date ('1969-12-31 19:00:00'),people61,0
date ('1969-12-31 19:00:00'),people117,0
date ('1969-12-31 19:00:00'),people63,0
date ('1969-12-31 19:00:00'),people64,2
date ('1969-12-31 19:00:00'),people65,1
date ('1969-12-31 19:00:00'),people80,1
date ('1969-12-31 19:00:00'),people66,0
date ('1969-12-31 19:00:00'),people67,0
date ('1969-12-31 19:00:01'),people168,1
date ('1969-12-31 19:00:01'),people118,1
date ('1969-12-31 19:00:01'),people156,0
date ('1969-12-31 19:00:01'),people143,3
date ('1969-12-31 19:00:01'),people93,1
date ('1969-12-31 19:00:01'),people18,1
date ('1969-12-31 19:00:01'),people193,2
date ('1969-12-31 19:00:01'),people43,0
date ('1969-12-31 19:00:01'),people19,3
date ('1969-12-31 19:00:01'),people194,0
date ('1969-12-31 19:00:01'),people144,2
date ('1969-12-31 19:00:01'),people157,2
date ('1969-12-31 19:00:01'),people94,3
date ('1969-12-31 19:00:01'),people119,3
date ('1969-12-31 19:00:01'),people44,4
date ('1969-12-31 19:00:01'),people20,1
date ('1969-12-31 19:00:01'),people195,0
date ('1969-12-31 19:00:01'),people145,1
date ('1969-12-31 19:00:01'),people158,0
date ('1969-12-31 19:00:01'),people120,0
date ('1969-12-31 19:00:01'),people45,2
date ('1969-12-31 19:00:01'),people95,0
date ('1969-12-31 19:00:01'),people196,0
date ('1969-12-31 19:00:01'),people146,1
date ('1969-12-31 19:00:01'),people21,1
date ('1969-12-31 19:00:01'),people159,2
date ('1969-12-31 19:00:01'),people46,0
date ('1969-12-31 19:00:01'),people121,0
date ('1969-12-31 19:00:01'),people96,3
date ('1969-12-31 19:00:01'),people147,1
date ('1969-12-31 19:00:01'),people22,1
date ('1969-12-31 19:00:01'),people197,1
date ('1969-12-31 19:00:01'),people160,2
date ('1969-12-31 19:00:01'),people47,1
date ('1969-12-31 19:00:01'),people97,2
date ('1969-12-31 19:00:01'),people122,0
date ('1969-12-31 19:00:01'),people23,4
date ('1969-12-31 19:00:01'),people198,2
date ('1969-12-31 19:00:01'),people148,1
date ('1969-12-31 19:00:01'),people161,0
date ('1969-12-31 19:00:01'),people98,0
date ('1969-12-31 19:00:01'),people48,0
date ('1969-12-31 19:00:01'),people123,1
date ('1969-12-31 19:00:01'),people24,2
date ('1969-12-31 19:00:01'),people199,3
date ('1969-12-31 19:00:01'),people149,2
date ('1969-12-31 19:00:01'),people99,0
date ('1969-12-31 19:00:01'),people150,0
date ('1969-12-31 19:00:01'),people49,5
date ('1969-12-31 19:00:01'),people124,1
date ('1969-12-31 19:00:01'),people187,2
date ('1969-12-31 19:00:01'),people12,1
date ('1969-12-31 19:00:01'),people137,0
date ('1969-12-31 19:00:01'),people151,1
date ('1969-12-31 19:00:01'),people87,1
date ('1969-12-31 19:00:01'),people37,3
date ('1969-12-31 19:00:01'),people188,0
date ('1969-12-31 19:00:01'),people112,2
date ('1969-12-31 19:00:01'),people13,1
date ('1969-12-31 19:00:01'),people138,2
date ('1969-12-31 19:00:01'),people152,2
date ('1969-12-31 19:00:01'),people88,0
date ('1969-12-31 19:00:01'),people38,1
